Measure Names,Month of MONTH,Measure Values
Monthly Recovery,May 2024,0.769230769
Monthly Total Boardings (accessible copy),May 2024,"13,962,000"
Baseline Monthly Total Boardings (accessible copy),May 2024,"18,168,000"
Monthly Recovery,June 2024,0.742690058
Monthly Total Boardings (accessible copy),June 2024,"12,722,000"
Baseline Monthly Total Boardings (accessible copy),June 2024,"17,116,000"
Monthly Recovery,July 2024,0.748571429
Monthly Total Boardings (accessible copy),July 2024,"13,131,000"
Baseline Monthly Total Boardings (accessible copy),July 2024,"17,501,000"
Monthly Recovery,August 2024,0.785310734
Monthly Total Boardings (accessible copy),August 2024,"13,866,000"
Baseline Monthly Total Boardings (accessible copy),August 2024,"17,711,000"
Monthly Recovery,September 2024,0.786516854
Monthly Total Boardings (accessible copy),September 2024,"14,022,000"
Baseline Monthly Total Boardings (accessible copy),September 2024,"17,813,000"
Monthly Recovery,October 2024,0.776041667
Monthly Total Boardings (accessible copy),October 2024,"14,854,000"
Baseline Monthly Total Boardings (accessible copy),October 2024,"19,241,000"
Monthly Recovery,November 2024,0.754491018
Monthly Total Boardings (accessible copy),November 2024,"12,639,000"
Baseline Monthly Total Boardings (accessible copy),November 2024,"16,721,000"
Monthly Recovery,December 2024,0.773006135
Monthly Total Boardings (accessible copy),December 2024,"12,587,000"
Baseline Monthly Total Boardings (accessible copy),December 2024,"16,344,000"
Monthly Recovery,January 2025,0.782352941
Monthly Total Boardings (accessible copy),January 2025,"13,348,000"
Baseline Monthly Total Boardings (accessible copy),January 2025,"17,035,000"
Monthly Recovery,February 2025,0.76875
Monthly Total Boardings (accessible copy),February 2025,"12,304,000"
Baseline Monthly Total Boardings (accessible copy),February 2025,"16,011,000"
Monthly Recovery,March 2025,0.784090909
Monthly Total Boardings (accessible copy),March 2025,"13,808,000"
Baseline Monthly Total Boardings (accessible copy),March 2025,"17,642,000"
Monthly Recovery,April 2025,0.787709497
Monthly Total Boardings (accessible copy),April 2025,"14,117,000"
Baseline Monthly Total Boardings (accessible copy),April 2025,"17,921,000"
Monthly Recovery,May 2025,0.796703297
Monthly Total Boardings (accessible copy),May 2025,"14,483,000"
Baseline Monthly Total Boardings (accessible copy),May 2025,"18,168,000"
Monthly Recovery,June 2025,0.771929825
Monthly Total Boardings (accessible copy),June 2025,"13,223,000"
Baseline Monthly Total Boardings (accessible copy),June 2025,"17,116,000"
Monthly Recovery,July 2025,0.782857143
Monthly Total Boardings (accessible copy),July 2025,"13,742,000"
Baseline Monthly Total Boardings (accessible copy),July 2025,"17,501,000"
Monthly Recovery,August 2025,0.819209040
Monthly Total Boardings (accessible copy),August 2025,"14,473,000"
Baseline Monthly Total Boardings (accessible copy),August 2025,"17,711,000"
Monthly Recovery,September 2025,0.825842697
Monthly Total Boardings (accessible copy),September 2025,"14,695,000"
Baseline Monthly Total Boardings (accessible copy),September 2025,"17,813,000"
Monthly Recovery,October 2025,0.786458333
Monthly Total Boardings (accessible copy),October 2025,"15,104,000"
Baseline Monthly Total Boardings (accessible copy),October 2025,"19,241,000"
Monthly Recovery,November 2025,0.772455090
Monthly Total Boardings (accessible copy),November 2025,"12,936,000"
Baseline Monthly Total Boardings (accessible copy),November 2025,"16,721,000"
Monthly Recovery,December 2025,0.773006135
Monthly Total Boardings (accessible copy),December 2025,"12,576,000"
Baseline Monthly Total Boardings (accessible copy),December 2025,"16,344,000"
Monthly Recovery,January 2026,0.8
Monthly Total Boardings (accessible copy),January 2026,"13,631,000"
Baseline Monthly Total Boardings (accessible copy),January 2026,"17,035,000"
Monthly Recovery,February 2026,0.8
Monthly Total Boardings (accessible copy),February 2026,"12,824,000"
Baseline Monthly Total Boardings (accessible copy),February 2026,"16,011,000"
Monthly Recovery,March 2026,0.846590909
Monthly Total Boardings (accessible copy),March 2026,"14,937,000"
Baseline Monthly Total Boardings (accessible copy),March 2026,"17,642,000"
